t,alpha,alpha_dot
4.702,-2.74276,2.72254
4.703,-2.73969,2.69199
4.704,-2.73662,2.50588
4.705,-2.73355,2.50588
4.706,-2.73355,2.50588
4.707,-2.73049,2.50588
4.708,-2.72742,2.50588
4.709,-2.72435,2.25099
4.71,-2.72435,2.25099
4.711,-2.72128,2.25099
4.712,-2.71821,2.25099
4.713,-2.71821,2.25099
4.714,-2.71515,2.25099
4.715,-2.71515,1.97685
4.716,-2.71208,1.96337
4.717,-2.70901,1.96337
4.718,-2.70901,1.96337
4.719,-2.70594,1.96337
4.72,-2.70594,1.96337
4.721,-2.70287,1.96337
4.722,-2.70287,1.76463
4.723,-2.69981,1.61598
4.724,-2.69981,1.61598
4.725,-2.69674,1.61598
4.726,-2.69674,1.61598
4.727,-2.69674,1.61598
4.728,-2.69367,1.61598
4.729,-2.69367,1.61598
4.73,-2.69367,1.61598
4.731,-2.6906,1.46702
4.732,-2.6906,1.3115
4.733,-2.6906,1.18469
4.734,-2.68753,1.14615
4.735,-2.68753,1.14615
4.736,-2.68753,1.14615
4.737,-2.68753,1.14615
4.738,-2.68447,1.14615
4.739,-2.68447,1.14615
4.74,-2.68447,1.14615
4.741,-2.68447,1.14615
4.742,-2.68447,1.14615
4.743,-2.68447,1.14615
4.744,-2.6814,1.14615
4.745,-2.6814,1.05311
4.746,-2.6814,0.970058
4.747,-2.6814,0.898518
4.748,-2.6814,0.837689
4.749,-2.6814,0.784077
4.75,-2.6814,0.736935
4.751,-2.6814,0.695286
4.752,-2.6814,0.657789
4.753,-2.6814,0.624266
4.754,-2.6814,0.594016
4.755,-2.6814,0.566787
4.756,-2.6814,0.541741
4.757,-2.68447,0.526865
4.758,-2.68447,0.526865
4.759,-2.68447,0.526865
4.76,-2.68447,0.526865
4.761,-2.68447,0.526865
4.762,-2.68447,0.526865
4.763,-2.68753,0.526865
4.764,-2.68753,0.526865
4.765,-2.68753,0.526865
4.766,-2.68753,0.526865
4.767,-2.6906,0.526865
4.768,-2.6906,0.526865
4.769,-2.6906,0.526865
4.77,-2.69367,0.526865
4.771,-2.69367,0.526865
4.772,-2.69367,0.526865
4.773,-2.69674,-0.776472
4.774,-2.69674,-0.776472
4.775,-2.69981,-0.776472
4.776,-2.69981,-0.776472
4.777,-2.69981,-0.776472
4.778,-2.70287,-0.776472
4.779,-2.70287,-0.776472
4.78,-2.70594,-0.776472
4.781,-2.70594,-0.776472
4.782,-2.70901,-1.42089
4.783,-2.71208,-1.42089
4.784,-2.71208,-1.42089
4.785,-2.71515,-1.42089
4.786,-2.71515,-1.42089
4.787,-2.71821,-1.42089
4.788,-2.72128,-1.80774
4.789,-2.72128,-1.80774
4.79,-2.72435,-1.80774
4.791,-2.72742,-1.80774
4.792,-2.72742,-1.80774
4.793,-2.73049,-1.80774
4.794,-2.73355,-2.11802
4.795,-2.73355,-2.11802
4.796,-2.73662,-2.11802
4.797,-2.73969,-2.11802
4.798,-2.74276,-2.11802
4.799,-2.74583,-2.37854
4.8,-2.74583,-2.37854
4.801,-2.74889,-2.37854
4.802,-2.75196,-2.37854
4.803,-2.75503,-2.37854
4.804,-2.7581,-2.6105
4.805,-2.76117,-2.6105
4.806,-2.76423,-2.6105
4.807,-2.7673,-2.6105
4.808,-2.77037,-2.81885
4.809,-2.77344,-2.81885
4.81,-2.77651,-2.81885
4.811,-2.77957,-2.81885
4.812,-2.78264,-3.00192
4.813,-2.78571,-3.00192
4.814,-2.78878,-3.00192
4.815,-2.79185,-3.00192
4.816,-2.79491,-3.17592
4.817,-2.79798,-3.17592
4.818,-2.80105,-3.17592
4.819,-2.80412,-3.17592
4.82,-2.80718,-3.32743
4.821,-2.81025,-3.32743
4.822,-2.81332,-3.32743
4.823,-2.81639,-3.32743
4.824,-2.82252,-3.47016
4.825,-2.82559,-3.47016
4.826,-2.82866,-3.47016
4.827,-2.83173,-3.6027
4.828,-2.8348,-3.6027
4.829,-2.84093,-3.6027
4.83,-2.844,-3.72211
4.831,-2.84707,-3.72211
4.832,-2.85014,-3.72211
4.833,-2.85627,-3.84558
4.834,-2.85934,-3.84558
4.835,-2.86241,-3.84558
4.836,-2.86548,-3.84558
4.837,-2.87161,-3.94717
4.838,-2.87468,-3.94717
4.839,-2.87775,-3.94717
4.84,-2.88388,-4.04483
4.841,-2.88695,-4.04483
4.842,-2.89002,-4.04483
4.843,-2.89616,-4.145
4.844,-2.89922,-4.145
4.845,-2.90536,-4.21926
4.846,-2.90843,-4.21926
4.847,-2.9115,-4.21926
4.848,-2.91763,-4.28734
4.849,-2.9207,-4.28734
4.85,-2.92684,-4.28734
4.851,-2.9299,-4.35614
4.852,-2.93297,-4.35614
4.853,-2.93911,-4.35614
4.854,-2.94218,-4.41912
4.855,-2.94831,-4.41912
4.856,-2.95138,-4.41912
4.857,-2.95751,-4.47469
4.858,-2.96058,-4.47469
4.859,-2.96672,-4.53003
4.86,-2.96979,-4.53003
4.861,-2.97592,-4.53003
4.862,-2.97899,-4.58889
4.863,-2.98513,-4.58889
4.864,-2.98819,-4.58889
4.865,-2.99433,-4.63504
4.866,-2.9974,-4.63504
4.867,-3.00353,-4.68212
4.868,-3.0066,-4.68212
4.869,-3.01274,-4.68212
4.87,-3.01581,-4.72092
4.871,-3.02194,-4.72092
4.872,-3.02808,-4.75791
4.873,-3.03115,-4.75791
4.874,-3.03728,-4.75791
4.875,-3.04035,-4.79835
4.876,-3.04649,-4.79835
4.877,-3.04955,-4.79835
4.878,-3.05569,-4.81619
4.879,-3.05876,-4.81619
4.88,-3.06489,-4.84256
4.881,-3.07103,-4.84256
4.882,-3.0741,-4.84256
4.883,-3.08023,-4.87583
4.884,-3.0833,-4.87583
4.885,-3.08944,-4.87537
4.886,-3.09557,-4.87537
4.887,-3.09864,-4.87537
4.888,-3.10478,-4.88178
4.889,-3.10785,-4.88178
4.89,-3.11398,-4.88964
4.891,-3.12012,-4.88964
4.892,-3.12318,-4.88964
4.893,-3.12932,-4.86707
4.894,-3.13239,-4.86707
4.895,-3.13852,-4.79997
4.896,-3.14159,-4.79997
4.897,3.13546,-4.79997
4.898,3.13239,-4.72128
4.899,3.12625,-4.72128
4.9,3.12318,-4.67647
4.901,3.11705,-4.60326
4.902,3.11091,-4.60326
4.903,3.10785,-4.80707
4.904,3.10171,-4.80707
4.905,3.09864,-4.80707
4.906,3.09251,-5.03678
4.907,3.08637,-5.03678
4.908,3.0833,-4.80754
4.909,3.07717,-4.80754
4.91,3.0741,-4.80754
4.911,3.06796,-4.80895
4.912,3.06489,-4.80895
4.913,3.05876,-4.83368
4.914,3.05262,-4.83368
4.915,3.04955,-4.83368
4.916,3.04342,-4.81784
4.917,3.04035,-4.81784
4.918,3.03421,-4.77635
4.919,3.03115,-4.77635
4.92,3.02501,-4.77635
4.921,3.02194,-4.75292
4.922,3.01581,-4.75292
4.923,3.00967,-4.71158
4.924,3.0066,-4.71158
4.925,3.00047,-4.71158
4.926,2.9974,-4.67999
4.927,2.99126,-4.67999
4.928,2.98819,-4.67999
4.929,2.98206,-4.62311
4.93,2.97899,-4.62311
4.931,2.97285,-4.56158
4.932,2.96979,-4.56158
4.933,2.96365,-4.56158
4.934,2.96058,-4.50899
4.935,2.95751,-4.50899
4.936,2.95138,-4.50899
4.937,2.94831,-4.43376
4.938,2.94218,-4.43376
4.939,2.93911,-4.43376
4.94,2.93297,-4.35715
4.941,2.9299,-4.35715
4.942,2.92684,-4.35715
4.943,2.9207,-4.29069
4.944,2.91763,-4.29069
4.945,2.9115,-4.22606
4.946,2.90843,-4.2115
4.947,2.90536,-4.2115
4.948,2.89922,-4.12464
4.949,2.89616,-4.12464
4.95,2.89309,-4.12464
4.951,2.89002,-4.07051
4.952,2.88388,-4.04716
4.953,2.88082,-4.04716
4.954,2.87775,-4.04716
4.955,2.87161,-3.95017
4.956,2.86854,-3.95017
4.957,2.86548,-3.95017
4.958,2.86241,-3.84157
4.959,2.85627,-3.84157
4.96,2.8532,-3.84157
4.961,2.85014,-3.73077
4.962,2.84707,-3.73077
4.963,2.844,-3.73077
4.964,2.83786,-3.64288
4.965,2.8348,-3.60688
4.966,2.83173,-3.60688
4.967,2.82866,-3.60688
4.968,2.82559,-3.47147
4.969,2.82252,-3.47147
4.97,2.81946,-3.47147
4.971,2.81639,-3.47147
4.972,2.81332,-3.32763
4.973,2.81025,-3.32763
4.974,2.80718,-3.32763
4.975,2.80412,-3.25649
4.976,2.80105,-3.18669
4.977,2.79798,-3.18669
4.978,2.79491,-3.18669
4.979,2.79185,-3.13793
4.98,2.78878,-3.01985
4.981,2.78571,-3.01985
4.982,2.78264,-3.01985
4.983,2.77957,-3.01985
4.984,2.77651,-2.84413
4.985,2.77344,-2.84413
4.986,2.77037,-2.84413
4.987,2.7673,-2.84413
4.988,2.7673,-2.70324
4.989,2.76423,-2.66068
4.99,2.76117,-2.66068
4.991,2.7581,-2.66068
4.992,2.75503,-2.66068
4.993,2.75503,-2.49728
4.994,2.75196,-2.44204
4.995,2.74889,-2.44204
4.996,2.74583,-2.44204
4.997,2.74583,-2.44204
4.998,2.74276,-2.44204
4.999,2.73969,-2.19994
5,2.73969,-2.19994
5.001,2.73662,-2.19994
5.002,2.73355,-2.19994
5.003,2.73355,-2.19994
5.004,2.73049,-2.19994
5.005,2.73049,-1.94175
5.006,2.72742,-1.92372
5.007,2.72435,-1.92372
5.008,2.72435,-1.92372
5.009,2.72128,-1.92372
5.01,2.72128,-1.92372
5.011,2.71821,-1.92372
5.012,2.71821,-1.76865
5.013,2.71515,-1.58351
5.014,2.71515,-1.58351
5.015,2.71515,-1.58351
5.016,2.71208,-1.58351
5.017,2.71208,-1.58351
5.018,2.70901,-1.58351
5.019,2.70901,-1.58351
5.02,2.70901,-1.58351
